t,real_name,P,R,Xi,death_type,narration
0,Sirius,0.0,0.6193,0.5857,dead,私は光の墓標になった。
0,Sirius,0.3764,0.927,0.5583,alive,私は失ったあとで、やっと安定した。
0,Ross 154,0.0777,0.0,0.3225,alive,赤くなったのは、燃え尽きた証だ。
0,Altair,0.1456,0.5595,0.1807,alive,私はもう爆発しない。
0,Altair,0.0,0.0,0.3774,dead,私は光の墓標になった。
0,Vega,0.0729,0.5719,0.7377,alive,私はもう爆発しない。
0,Vega,0.2821,0.9097,0.7167,alive,私は失ったあとで、やっと安定した。
0,Sun,0.3424,0.1445,0.4304,alive,私は特別ではない。ただ、長く続くだけだ。
0,Altair,0.8957,0.0,0.799,alive,私は失ったあとで、やっと安定した。
0,Vega,0.9278,0.1436,0.0491,alive,私はもう爆発しない。
0,Ross 154,0.8066,0.8456,0.1059,alive,私はもう、若かった頃の熱を覚えていない。
0,Sun,0.0241,0.0,0.8049,alive,私は特別ではない。ただ、長く続くだけだ。
0,Sirius,0.8245,0.9356,0.6875,alive,私は失ったあとで、やっと安定した。
0,Sirius,0.788,0.0,0.6969,alive,私はもう爆発しない。
0,Altair,0.8408,0.0,0.6635,alive,私は失ったあとで、やっと安定した。
0,Bellatrix,0.4876,0.7523,0.2773,alive,私は生まれた瞬間から、燃えすぎていた。
0,Sirius,0.0683,0.0,0.1238,alive,私は失ったあとで、やっと安定した。
0,Sun,0.5817,0.0,0.4035,alive,私は今日も、昨日と同じように燃えている。
0,Spica,0.0664,0.2585,0.6632,alive,私は生まれた瞬間から、燃えすぎていた。
0,Sirius,0.1727,0.9682,0.1862,alive,私は失ったあとで、やっと安定した。
1,Sirius,0.0,0.6186,0.5845,dead,私は光の墓標になった。
1,Sirius,0.3684,0.9272,0.567,alive,私はもう爆発しない。
1,Ross 154,0.0777,0.0,0.3222,alive,赤くなったのは、燃え尽きた証だ。
1,Altair,0.0978,0.5594,0.2281,alive,私は失ったあとで、やっと安定した。
1,Altair,0.0,0.0,0.3764,dead,私は光の墓標になった。
1,Vega,0.0349,0.5722,0.7744,alive,私はもう爆発しない。
1,Vega,0.261,0.9097,0.738,alive,私はもう爆発しない。
1,Sun,0.3407,0.1445,0.4328,alive,私は特別ではない。ただ、長く続くだけだ。
1,Altair,0.8562,0.0,0.7556,alive,私は失ったあとで、やっと安定した。
1,Vega,0.901,0.1436,0.0182,alive,私は失ったあとで、やっと安定した。
1,Ross 154,0.8066,0.8444,0.1023,alive,赤くなったのは、燃え尽きた証だ。
1,Sun,0.0237,0.0,0.8042,alive,私は特別ではない。ただ、長く続くだけだ。
1,Sirius,0.8142,0.9345,0.6741,alive,私はもう爆発しない。
1,Sirius,0.7804,0.0,0.6861,alive,私はもう爆発しない。
1,Altair,0.7737,0.0,0.5935,alive,私はもう爆発しない。
1,Bellatrix,0.3421,0.7519,0.4235,alive,青は若さの色ではなく、余命の短さの色だ。
1,Sirius,0.0139,0.0,0.0705,alive,私はもう爆発しない。
1,Sun,0.5806,0.0,0.4064,alive,私は特別ではない。ただ、長く続くだけだ。
1,Spica,0.0,0.2582,0.7283,dead,私は速すぎた。だから先に終わる。
1,Sirius,0.1624,0.968,0.1957,alive,私は失ったあとで、やっと安定した。
2,Sirius,0.0,0.6182,0.5831,dead,私は光の墓標になった。
2,Sirius,0.3603,0.9276,0.5757,alive,私は失ったあとで、やっと安定した。
2,Ross 154,0.0776,0.0,0.3222,alive,私はもう、若かった頃の熱を覚えていない。
2,Altair,0.05,0.5591,0.2749,alive,私は失ったあとで、やっと安定した。
2,Altair,0.0,0.0,0.3755,dead,私は光の墓標になった。
2,Vega,0.0,0.5725,0.8078,dead,私は光の墓標になった。
2,Vega,0.2398,0.9101,0.7591,alive,私はもう爆発しない。
2,Sun,0.339,0.1444,0.4352,alive,私は今日も、昨日と同じように燃えている。
2,Altair,0.8167,0.0,0.7131,alive,私はもう爆発しない。
2,Vega,0.8742,0.1436,0.0214,alive,私は失ったあとで、やっと安定した。
2,Ross 154,0.8065,0.8442,0.0991,alive,私はもう、若かった頃の熱を覚えていない。
2,Sun,0.0233,0.0,0.8033,alive,私は今日も、昨日と同じように燃えている。
2,Sirius,0.8039,0.9338,0.6612,alive,私は失ったあとで、やっと安定した。
2,Sirius,0.7727,0.0,0.6749,alive,私は失ったあとで、やっと安定した。
2,Altair,0.7066,0.0,0.5242,alive,私は失ったあとで、やっと安定した。
2,Bellatrix,0.1967,0.751,0.5689,alive,私は生まれた瞬間から、燃えすぎていた。
2,Sirius,0.0,0.0,0.0819,dead,私は光の墓標になった。
2,Sun,0.5795,0.0,0.4093,alive,私は今日も、昨日と同じように燃えている。
2,Spica,0.0,0.258,0.7271,dead,私は速すぎた。だから先に終わる。
2,Sirius,0.1521,0.9684,0.2062,alive,私は失ったあとで、やっと安定した。
3,Sirius,0.0,0.6181,0.5822,dead,私は光の墓標になった。
3,Sirius,0.3523,0.9271,0.5844,alive,私はもう爆発しない。
3,Ross 154,0.0776,0.0,0.3217,alive,私はもう、若かった頃の熱を覚えていない。
3,Altair,0.0022,0.5589,0.3219,alive,私は失ったあとで、やっと安定した。
3,Altair,0.0,0.0,0.3742,dead,私は光の墓標になった。
3,Vega,0.0,0.5726,0.8066,dead,私は光の墓標になった。
3,Vega,0.2186,0.9094,0.78,alive,私はもう爆発しない。
3,Sun,0.3374,0.1442,0.4377,alive,私は特別ではない。ただ、長く続くだけだ。
3,Altair,0.7772,0.0,0.6706,alive,私は失ったあとで、やっと安定した。
3,Vega,0.8473,0.1435,0.0517,alive,私は失ったあとで、やっと安定した。
3,Ross 154,0.8065,0.8429,0.0955,alive,赤くなったのは、燃え尽きた証だ。
