name,type,mass_solar,age_gyr,distance_pc,lifespan_gyr,papers
SimStar-0,star,14.54904795208822,0.012114419234680334,1088.412652281943,0.012385500518413126,2911
SimStar-1,star,7.625628945144075,0.03833423189586859,3248.1490767365403,0.0622745828570284,4659
SimStar-2,star,0.6479800483625647,27.287843773801505,9451.252526239283,29.586658242376302,1693
SimStar-3,star,15.566189336666623,0.008436943957035805,5841.082974898953,0.010460302125684065,1425
SimStar-4,star,13.321492720485944,0.015434715281983757,2191.623319381934,0.015438950347896978,1823
SimStar-5,star,14.201688700498165,0.011697732302019967,5560.614187276758,0.01315679258581293,4003
SimStar-6,star,11.236983376872436,0.016459923273309505,4959.471568938795,0.023625208718031324,4993
SimStar-7,star,4.06240972426207,0.19720617610159769,5549.558375010219,0.300635797710182,3794
SimStar-8,star,14.4245902078465,0.0008199081550943474,4159.821656979976,0.012654392184480846,649
SimStar-9,star,12.354992477403306,0.0008451974743482975,4119.656276711946,0.018637763078760063,4397
SimStar-10,star,0.721582715655301,4.372273362667447,8048.231492496086,22.60917395919819,3600
SimStar-11,star,2.2744092066498665,1.2504177718478489,8332.744216022247,1.2818242642848605,4073
SimStar-12,star,8.423968548090572,0.008022895012072,6274.47273312932,0.0485521155732976,927
SimStar-13,star,7.480000500337574,0.013351352948308724,8440.474281238934,0.06535005128113673,796
SimStar-14,star,17.823883809111233,0.0006873102449102157,5283.4895352745025,0.007455798185627857,1080
SimStar-15,star,24.291158647257777,0.001262076665339323,5032.607673057979,0.0034385823050581,3754
SimStar-16,star,16.387073059283168,0.008071223222263075,6962.985641830271,0.009199125104258814,78
SimStar-17,star,3.4171129568528835,0.19329025875963995,8996.439110568454,0.4632886515098847,4909
SimStar-18,star,21.659699193481497,0.0037759108649999223,2227.3020320198048,0.004580036591077489,3621
SimStar-19,star,8.432272366255406,0.039567315919982075,2850.806823578632,0.04843267261624217,1702
