t,real_name,P,R,Xi,death_type,narration
0,Vega,0.8622,0.7475,0.8226,alive,私は失ったあとで、やっと安定した。
0,Sirius,0.7992,0.0,0.058,alive,私はもう爆発しない。
0,Altair,0.0302,0.9631,0.1959,alive,私は失ったあとで、やっと安定した。
0,Altair,0.4247,0.8712,0.2965,alive,私はもう爆発しない。
0,Vega,0.8176,0.0,0.0735,alive,私はもう爆発しない。
0,Altair,0.4611,0.901,0.4278,alive,私はもう爆発しない。
0,Bellatrix,0.3155,0.027,0.5396,alive,青は若さの色ではなく、余命の短さの色だ。
0,Spica,0.4265,0.0,0.2314,alive,青は若さの色ではなく、余命の短さの色だ。
0,Sirius,0.0,0.0,0.6618,dead,私は光の墓標になった。
0,Sirius,0.3118,0.4828,0.1883,alive,私はもう爆発しない。
0,Sirius,0.1516,0.0,0.788,alive,私はもう爆発しない。
0,Sirius,0.5361,0.1361,0.5712,alive,私は失ったあとで、やっと安定した。
0,Vega,0.5916,0.0,0.1909,alive,私はもう爆発しない。
0,Sirius,0.541,0.1091,0.39,alive,私は失ったあとで、やっと安定した。
0,Spica,0.5436,0.9399,0.4053,alive,私は生まれた瞬間から、燃えすぎていた。
0,Sirius,0.5874,0.6195,0.1486,alive,私はもう爆発しない。
0,Vega,0.8215,0.5841,0.0286,alive,私は失ったあとで、やっと安定した。
0,Sirius,0.0,0.0,0.252,dead,私は光の墓標になった。
0,Altair,0.508,0.0,0.0324,alive,私はもう爆発しない。
0,Vega,0.0,0.9118,0.4813,dead,私は光の墓標になった。
1,Vega,0.8487,0.7479,0.8061,alive,私はもう爆発しない。
1,Sirius,0.7964,0.0,0.0641,alive,私は失ったあとで、やっと安定した。
1,Altair,0.027,0.9617,0.1981,alive,私はもう爆発しない。
1,Altair,0.372,0.8708,0.3497,alive,私は失ったあとで、やっと安定した。
1,Vega,0.7733,0.0,0.026,alive,私は失ったあとで、やっと安定した。
1,Altair,0.4015,0.9006,0.4883,alive,私は失ったあとで、やっと安定した。
1,Bellatrix,0.1927,0.027,0.6621,alive,私は生まれた瞬間から、燃えすぎていた。
1,Spica,0.3089,0.0,0.1141,alive,私は生まれた瞬間から、燃えすぎていた。
1,Sirius,0.0,0.0,0.6602,dead,私は光の墓標になった。
1,Sirius,0.2687,0.4823,0.1463,alive,私は失ったあとで、やっと安定した。
1,Sirius,0.1179,0.0,0.821,alive,私はもう爆発しない。
1,Sirius,0.5272,0.136,0.5616,alive,私は失ったあとで、やっと安定した。
1,Vega,0.5282,0.0,0.1261,alive,私は失ったあとで、やっと安定した。
1,Sirius,0.5293,0.109,0.4033,alive,私はもう爆発しない。
1,Spica,0.3916,0.9392,0.5581,alive,私は生まれた瞬間から、燃えすぎていた。
1,Sirius,0.5498,0.6194,0.1098,alive,私は失ったあとで、やっと安定した。
1,Vega,0.7659,0.5832,0.087,alive,私は失ったあとで、やっと安定した。
1,Sirius,0.0,0.0,0.2506,dead,私は光の墓標になった。
1,Altair,0.4398,0.0,0.0793,alive,私はもう爆発しない。
1,Vega,0.0,0.9105,0.4806,dead,私は光の墓標になった。
2,Vega,0.8351,0.747,0.789,alive,私は失ったあとで、やっと安定した。
2,Sirius,0.7935,0.0,0.07,alive,私はもう爆発しない。
2,Altair,0.0238,0.9613,0.2,alive,私はもう爆発しない。
2,Altair,0.3194,0.8711,0.4027,alive,私は失ったあとで、やっと安定した。
2,Vega,0.7291,0.0,0.0625,alive,私は失ったあとで、やっと安定した。
2,Altair,0.342,0.8995,0.5484,alive,私は失ったあとで、やっと安定した。
2,Bellatrix,0.0699,0.027,0.784,alive,青は若さの色ではなく、余命の短さの色だ。
2,Spica,0.1913,0.0,0.0628,alive,青は若さの色ではなく、余命の短さの色だ。
2,Sirius,0.0,0.0,0.659,dead,私は光の墓標になった。
2,Sirius,0.2255,0.4816,0.1029,alive,私はもう爆発しない。
2,Sirius,0.0843,0.0,0.8537,alive,私は失ったあとで、やっと安定した。
2,Sirius,0.5183,0.1359,0.5507,alive,私はもう爆発しない。
2,Vega,0.4647,0.0,0.0616,alive,私は失ったあとで、やっと安定した。
2,Sirius,0.5176,0.1089,0.4165,alive,私はもう爆発しない。
2,Spica,0.2397,0.9379,0.7101,alive,私は生まれた瞬間から、燃えすぎていた。
2,Sirius,0.5122,0.6186,0.0704,alive,私はもう爆発しない。
2,Vega,0.7102,0.5835,0.1451,alive,私は失ったあとで、やっと安定した。
2,Sirius,0.0,0.0,0.2496,dead,私は光の墓標になった。
2,Altair,0.3716,0.0,0.1484,alive,私はもう爆発しない。
2,Vega,0.0,0.9094,0.4801,dead,私は光の墓標になった。
3,Vega,0.8216,0.7469,0.7722,alive,私はもう爆発しない。
3,Sirius,0.7907,0.0,0.076,alive,私はもう爆発しない。
3,Altair,0.0206,0.9613,0.2024,alive,私はもう爆発しない。
3,Altair,0.2667,0.8711,0.4554,alive,私はもう爆発しない。
3,Vega,0.6849,0.0,0.1092,alive,私はもう爆発しない。
3,Altair,0.2825,0.8989,0.6082,alive,私はもう爆発しない。
3,Bellatrix,0.0,0.027,0.8526,dead,私は速すぎた。だから先に終わる。
3,Spica,0.0737,0.0,0.1793,alive,私は生まれた瞬間から、燃えすぎていた。
3,Sirius,0.0,0.0,0.6576,dead,私は光の墓標になった。
3,Sirius,0.1824,0.4818,0.0609,alive,私はもう爆発しない。
3,Sirius,0.0506,0.0,0.8862,alive,私はもう爆発しない。
3,Sirius,0.5095,0.1359,0.5408,alive,私はもう爆発しない。
3,Vega,0.4013,0.0,0.0063,alive,私は失ったあとで、やっと安定した。
3,Sirius,0.5058,0.1089,0.4297,alive,私は失ったあとで、やっと安定した。
3,Spica,0.0877,0.9376,0.8611,alive,私は生まれた瞬間から、燃えすぎていた。
3,Sirius,0.4746,0.6188,0.0321,alive,私はもう爆発しない。
3,Vega,0.6545,0.5836,0.203,alive,私は失ったあとで、やっと安定した。
3,Sirius,0.0,0.0,0.249,dead,私は光の墓標になった。
3,Altair,0.3035,0.0,0.217,alive,私は失ったあとで、やっと安定した。
3,Vega,0.0,0.908,0.479,dead,私は光の墓標になった。
4,Vega,0.8081,0.7465,0.7561,alive,私は失ったあとで、やっと安定した。
4,Sirius,0.7878,0.0,0.0821,alive,私は失ったあとで、やっと安定した。
4,Altair,0.0175,0.9605,0.2045,alive,私は失ったあとで、やっと安定した。
4,Altair,0.2141,0.8711,0.5081,alive,私は失ったあとで、やっと安定した。
4,Vega,0.6407,0.0,0.1557,alive,私は失ったあとで、やっと安定した。
4,Altair,0.223,0.8977,0.6676,alive,私は失ったあとで、やっと安定した。
4,Bellatrix,0.0,0.027,0.8512,dead,私は速すぎた。だから先に終わる。
4,Spica,0.0,0.0,0.2523,dead,私は速すぎた。だから先に終わる。
4,Sirius,0.0,0.0,0.656,dead,私は光の墓標になった。
4,Sirius,0.1393,0.4814,0.0732,alive,私は失ったあとで、やっと安定した。
4,Sirius,0.0169,0.0,0.9186,alive,私は失ったあとで、やっと安定した。
4,Sirius,0.5006,0.1358,0.5301,alive,私はもう爆発しない。
4,Vega,0.3379,0.0,0.07,alive,私は失ったあとで、やっと安定した。
4,Sirius,0.4941,0.1088,0.4428,alive,私は失ったあとで、やっと安定した。
4,Spica,0.0,0.9374,0.9474,dead,私は速すぎた。だから先に終わる。
4,Sirius,0.437,0.6179,0.0577,alive,私はもう爆発しない。
4,Vega,0.5989,0.5835,0.2607,alive,私はもう爆発しない。
4,Sirius,0.0,0.0,0.2483,dead,私は光の墓標になった。
4,Altair,0.2353,0.0,0.2854,alive,私は失ったあとで、やっと安定した。
4,Vega,0.0,0.9074,0.4781,dead,私は光の墓標になった。
5,Vega,0.7945,0.7456,0.7396,alive,私はもう爆発しない。
5,Sirius,0.785,0.0,0.088,alive,私はもう爆発しない。
5,Altair,0.0143,0.9602,0.2072,alive,私はもう爆発しない。
5,Altair,0.1615,0.8705,0.5602,alive,私は失ったあとで、やっと安定した。
5,Vega,0.5964,0.0,0.202,alive,私はもう爆発しない。
5,Altair,0.1635,0.8979,0.7268,alive,私は失ったあとで、やっと安定した。
5,Bellatrix,0.0,0.027,0.8498,dead,私は速すぎた。だから先に終わる。
5,Spica,0.0,0.0,0.2516,dead,私は速すぎた。だから先に終わる。
5,Sirius,0.0,0.0,0.6548,dead,私は光の墓標になった。
5,Sirius,0.0961,0.4812,0.1163,alive,私はもう爆発しない。
5,Sirius,0.0,0.0,0.9341,dead,私は光の墓標になった。
5,Sirius,0.4917,0.1358,0.5207,alive,私は失ったあとで、やっと安定した。
5,Vega,0.2744,0.0,0.1341,alive,私は失ったあとで、やっと安定した。
5,Sirius,0.4824,0.1087,0.4558,alive,私はもう爆発しない。
5,Spica,0.0,0.9377,0.946,dead,私は速すぎた。だから先に終わる。
5,Sirius,0.3994,0.6172,0.0963,alive,私は失ったあとで、やっと安定した。
5,Vega,0.5432,0.583,0.3179,alive,私は失ったあとで、やっと安定した。
5,Sirius,0.0,0.0,0.2469,dead,私は光の墓標になった。
5,Altair,0.1671,0.0,0.3534,alive,私はもう爆発しない。
5,Vega,0.0,0.9067,0.4773,dead,私は光の墓標になった。
6,Vega,0.781,0.7451,0.7238,alive,私は失ったあとで、やっと安定した。
6,Sirius,0.7821,0.0,0.0938,alive,私はもう爆発しない。
6,Altair,0.0111,0.959,0.2102,alive,私はもう爆発しない。
6,Altair,0.1088,0.8707,0.612,alive,私はもう爆発しない。
6,Vega,0.5522,0.0,0.2479,alive,私は失ったあとで、やっと安定した。
6,Altair,0.104,0.8966,0.7856,alive,私はもう爆発しない。
6,Bellatrix,0.0,0.027,0.8486,dead,私は速すぎた。だから先に終わる。
6,Spica,0.0,0.0,0.2507,dead,私は速すぎた。だから先に終わる。
6,Sirius,0.0,0.0,0.6538,dead,私は光の墓標になった。
6,Sirius,0.053,0.4807,0.1582,alive,私は失ったあとで、やっと安定した。
6,Sirius,0.0,0.0,0.9327,dead,私は光の墓標になった。
6,Sirius,0.4828,0.1357,0.5112,alive,私はもう爆発しない。
6,Vega,0.211,0.0,0.1973,alive,私はもう爆発しない。
6,Sirius,0.4706,0.1087,0.4688,alive,私はもう爆発しない。
6,Spica,0.0,0.9363,0.9447,dead,私は速すぎた。だから先に終わる。
6,Sirius,0.3618,0.6169,0.1352,alive,私はもう爆発しない。
6,Vega,0.4876,0.5832,0.3751,alive,私はもう爆発しない。
6,Sirius,0.0,0.0,0.2452,dead,私は光の墓標になった。
6,Altair,0.0989,0.0,0.4205,alive,私は失ったあとで、やっと安定した。
6,Vega,0.0,0.9057,0.4763,dead,私は光の墓標になった。
7,Vega,0.7675,0.744,0.7069,alive,私は失ったあとで、やっと安定した。
7,Sirius,0.7792,0.0,0.0998,alive,私はもう爆発しない。
7,Altair,0.0079,0.9576,0.2125,alive,私は失ったあとで、やっと安定した。
7,Altair,0.0562,0.8707,0.6637,alive,私はもう爆発しない。
7,Vega,0.508,0.0,0.2935,alive,私は失ったあとで、やっと安定した。
7,Altair,0.0445,0.8953,0.8442,alive,私はもう爆発しない。
7,Bellatrix,0.0,0.027,0.8471,dead,私は速すぎた。だから先に終わる。
7,Spica,0.0,0.0,0.2491,dead,私は速すぎた。だから先に終わる。
7,Sirius,0.0,0.0,0.6521,dead,私は光の墓標になった。
7,Sirius,0.0099,0.4807,0.2003,alive,私は失ったあとで、やっと安定した。
7,Sirius,0.0,0.0,0.9314,dead,私は光の墓標になった。
7,Sirius,0.4739,0.1356,0.5014,alive,私は失ったあとで、やっと安定した。
7,Vega,0.1476,0.0,0.2609,alive,私は失ったあとで、やっと安定した。
7,Sirius,0.4589,0.1086,0.4817,alive,私は失ったあとで、やっと安定した。
7,Spica,0.0,0.9353,0.9433,dead,私は速すぎた。だから先に終わる。
7,Sirius,0.3243,0.6161,0.1732,alive,私はもう爆発しない。
7,Vega,0.4319,0.5823,0.4318,alive,私はもう爆発しない。
7,Sirius,0.0,0.0,0.2444,dead,私は光の墓標になった。
7,Altair,0.0307,0.0,0.488,alive,私はもう爆発しない。
7,Vega,0.0,0.9051,0.4756,dead,私は光の墓標になった。
8,Vega,0.754,0.744,0.6907,alive,私はもう爆発しない。
8,Sirius,0.7764,0.0,0.1057,alive,私は失ったあとで、やっと安定した。
8,Altair,0.0048,0.9569,0.2143,alive,私は失ったあとで、やっと安定した。
8,Altair,0.0036,0.8701,0.715,alive,私は失ったあとで、やっと安定した。
8,Vega,0.4638,0.0,0.3388,alive,私は失ったあとで、やっと安定した。
8,Altair,0.0,0.8941,0.8874,dead,私は光の墓標になった。
8,Bellatrix,0.0,0.027,0.8457,dead,私は速すぎた。だから先に終わる。
8,Spica,0.0,0.0,0.2473,dead,私は速すぎた。だから先に終わる。
8,Sirius,0.0,0.0,0.6508,dead,私は光の墓標になった。
8,Sirius,0.0,0.4805,0.2089,dead,私は光の墓標になった。
8,Sirius,0.0,0.0,0.93,dead,私は光の墓標になった。
8,Sirius,0.4651,0.1355,0.4912,alive,私は失ったあとで、やっと安定した。
8,Vega,0.0841,0.0,0.3236,alive,私はもう爆発しない。
8,Sirius,0.4472,0.1086,0.4946,alive,私はもう爆発しない。
8,Spica,0.0,0.9347,0.9419,dead,私は速すぎた。だから先に終わる。
8,Sirius,0.2867,0.6162,0.2117,alive,私はもう爆発しない。
8,Vega,0.3762,0.582,0.4883,alive,私はもう爆発しない。
8,Sirius,0.0,0.0,0.2428,dead,私は光の墓標になった。
