name,type,mass_solar,age_gyr,distance_pc,lifespan_gyr,papers
SimStar-0,star,13.420676563807005,0.0018297516333697994,9819.47272854702,0.01515528035960284,4252
SimStar-1,star,22.901006487322242,0.002511335325630399,9757.62489641542,0.003984405909558018,1772
SimStar-2,star,12.880933481680383,0.003971897012336992,4061.131622959349,0.016793130242377347,523
SimStar-3,star,6.472704262502304,0.07727241042534556,2644.574904171239,0.09381787428983109,672
SimStar-4,star,11.627814116487102,0.00786268067095783,3587.292464340514,0.02168976261185835,3567
SimStar-5,star,2.6144796769556584,0.32887048877488523,5021.286425707361,0.9047671506081798,746
SimStar-6,star,12.048869586539691,0.0036156833843359435,5600.702370256058,0.019844229483515045,856
SimStar-7,star,15.229988922192794,0.0016775944337736747,3038.4759526035305,0.011047169851557834,790
SimStar-8,star,6.6872655704452315,0.036257514626822335,7804.813171606076,0.08647261119142671,4056
SimStar-9,star,15.538823538164698,0.008394546967502423,3402.2969935018696,0.010506417703195206,1482
SimStar-10,star,19.354276722459275,0.001693237718980327,8520.94609035765,0.006068168539414067,878
SimStar-11,star,7.4807927119145425,0.05757091766794749,9583.840932999843,0.06533275132465076,1536
SimStar-12,star,0.6170508562701096,1.9833404243584418,5513.841889107942,33.4347131620009,885
SimStar-13,star,18.284313645399088,0.005289444684113133,4622.906865629081,0.006995251669416052,788
SimStar-14,star,5.089228139860979,0.08157809353614978,3562.3845637479517,0.17114735840567097,4366
SimStar-15,star,22.126059749175347,0.002027241154253475,5444.199426348265,0.004342499708211192,407
SimStar-16,star,22.808468333282875,0.0008908382755797109,3072.69907971444,0.004024942637256522,1492
SimStar-17,star,20.16684352996917,0.0013648778341487724,6611.313624433035,0.005475265435776918,3781
SimStar-18,star,12.070498107414846,0.00422984483739112,1837.1289969716245,0.019755454210563968,2187
SimStar-19,star,18.75740148234704,0.002700228350954511,5663.057977537994,0.006562484863174427,205
