t,real_name,P,R,Xi,death_type,narration
0,Vega,0.8463,0.0,0.0221,alive,私はもう爆発しない。
0,Spica,0.2442,0.0,0.1734,alive,青は若さの色ではなく、余命の短さの色だ。
0,Altair,0.7337,0.4429,0.6624,alive,私はもう爆発しない。
0,Sirius,0.171,0.0,0.06,alive,私はもう爆発しない。
0,Vega,0.6144,0.0,0.1117,alive,私は失ったあとで、やっと安定した。
0,Sun,0.636,0.4853,0.5273,alive,私は今日も、昨日と同じように燃えている。
0,Vega,0.7926,0.8227,0.6653,alive,私はもう爆発しない。
0,Sirius,0.8029,0.0,0.6669,alive,私は失ったあとで、やっと安定した。
0,Sirius,0.5749,0.0,0.2531,alive,私は失ったあとで、やっと安定した。
0,Vega,0.1534,0.4199,0.1668,alive,私はもう爆発しない。
0,Vega,0.6386,0.9148,0.5309,alive,私はもう爆発しない。
0,Altair,0.1112,0.2728,0.262,alive,私はもう爆発しない。
0,Proxima Centauri,0.9407,0.0,0.8049,alive,赤くなったのは、燃え尽きた証だ。
0,Vega,0.1724,0.4205,0.0542,alive,私は失ったあとで、やっと安定した。
0,Vega,0.5204,0.0,0.359,alive,私はもう爆発しない。
0,Spica,0.418,0.1288,0.3856,alive,私は生まれた瞬間から、燃えすぎていた。
0,Rigel,0.6544,0.0,0.3752,alive,青は若さの色ではなく、余命の短さの色だ。
0,Bellatrix,0.6594,0.0,0.1155,alive,青は若さの色ではなく、余命の短さの色だ。
0,Sirius,0.7606,0.9547,0.3306,alive,私はもう爆発しない。
0,Altair,0.5123,0.896,0.5236,alive,私はもう爆発しない。
1,Vega,0.8133,0.0,0.0583,alive,私はもう爆発しない。
1,Spica,0.1187,0.0,0.2988,alive,青は若さの色ではなく、余命の短さの色だ。
1,Altair,0.7039,0.443,0.6308,alive,私は失ったあとで、やっと安定した。
1,Sirius,0.1657,0.0,0.0552,alive,私は失ったあとで、やっと安定した。
1,Vega,0.5914,0.0,0.1368,alive,私はもう爆発しない。
