t,real_name,P,R,Xi,death_type,narration
0,Vega,0.6699,0.0,0.2176,alive,私は失ったあとで、やっと安定した。
0,Sun,0.833,0.9073,0.0477,alive,私は特別ではない。ただ、長く続くだけだ。
0,Sirius,0.3122,0.0,0.1032,alive,私は失ったあとで、やっと安定した。
0,Sirius,0.5883,0.8645,0.1681,alive,私はもう爆発しない。
0,Altair,0.5257,0.9061,0.4958,alive,私は失ったあとで、やっと安定した。
0,Spica,0.6681,0.0,0.1859,alive,青は若さの色ではなく、余命の短さの色だ。
0,Sun,0.9008,0.4722,0.1199,alive,私は特別ではない。ただ、長く続くだけだ。
0,Sun,0.4871,0.0,0.4294,alive,私は特別ではない。ただ、長く続くだけだ。
0,Sirius,0.8939,0.0,0.0186,alive,私は失ったあとで、やっと安定した。
0,Proxima Centauri,0.9504,0.0,0.5936,alive,私はもう、若かった頃の熱を覚えていない。
0,Altair,0.4274,0.0,0.2905,alive,私は失ったあとで、やっと安定した。
0,Vega,0.6675,0.7038,0.5483,alive,私はもう爆発しない。
0,Vega,0.743,0.0,0.2575,alive,私は失ったあとで、やっと安定した。
0,Sirius,0.0,0.9565,0.4217,dead,私は光の墓標になった。
0,Altair,0.5129,0.0,0.0745,alive,私は失ったあとで、やっと安定した。
0,Altair,0.6786,0.8054,0.4302,alive,私は失ったあとで、やっと安定した。
0,Alpha Centauri A,0.6469,0.0761,0.1066,alive,私は今日も、昨日と同じように燃えている。
0,Altair,0.1948,0.0,0.735,alive,私はもう爆発しない。
0,Sirius,0.8834,0.0,0.7418,alive,私はもう爆発しない。
0,Rigel,0.1186,0.7261,0.1069,alive,青は若さの色ではなく、余命の短さの色だ。
1,Vega,0.6296,0.0,0.26,alive,私はもう爆発しない。
1,Sun,0.8318,0.9073,0.0521,alive,私は特別ではない。ただ、長く続くだけだ。
1,Sirius,0.2616,0.0,0.1539,alive,私は失ったあとで、やっと安定した。
1,Sirius,0.538,0.8646,0.2205,alive,私はもう爆発しない。
1,Altair,0.4987,0.9063,0.4675,alive,私はもう爆発しない。
1,Spica,0.535,0.0,0.3208,alive,私は生まれた瞬間から、燃えすぎていた。
1,Sun,0.8998,0.4721,0.115,alive,私は特別ではない。ただ、長く続くだけだ。
1,Sun,0.4868,0.0,0.4311,alive,私は今日も、昨日と同じように燃えている。
1,Sirius,0.8781,0.0,0.0379,alive,私はもう爆発しない。
1,Proxima Centauri,0.9504,0.0,0.5898,alive,赤くなったのは、燃え尽きた証だ。
1,Altair,0.4218,0.0,0.2972,alive,私はもう爆発しない。
1,Vega,0.6598,0.7039,0.5388,alive,私はもう爆発しない。
1,Vega,0.7379,0.0,0.2497,alive,私は失ったあとで、やっと安定した。
1,Sirius,0.0,0.9563,0.4205,dead,私は光の墓標になった。
1,Altair,0.4952,0.0,0.0557,alive,私はもう爆発しない。
1,Altair,0.6315,0.8058,0.3811,alive,私はもう爆発しない。
1,Alpha Centauri A,0.6461,0.0761,0.1037,alive,私は特別ではない。ただ、長く続くだけだ。
1,Altair,0.1899,0.0,0.7397,alive,私はもう爆発しない。
1,Sirius,0.8024,0.0,0.6581,alive,私は失ったあとで、やっと安定した。
1,Rigel,0.0127,0.7253,0.1072,alive,私は生まれた瞬間から、燃えすぎていた。
2,Vega,0.5892,0.0,0.3023,alive,私は失ったあとで、やっと安定した。
2,Sun,0.8306,0.9073,0.0566,alive,私は今日も、昨日と同じように燃えている。
2,Sirius,0.211,0.0,0.2042,alive,私はもう爆発しない。
2,Sirius,0.4877,0.8633,0.2722,alive,私は失ったあとで、やっと安定した。
2,Altair,0.4718,0.9059,0.4396,alive,私は失ったあとで、やっと安定した。
2,Spica,0.4019,0.0,0.4548,alive,私は生まれた瞬間から、燃えすぎていた。
2,Sun,0.8987,0.4719,0.1099,alive,私は今日も、昨日と同じように燃えている。
2,Sun,0.4865,0.0,0.4329,alive,私は特別ではない。ただ、長く続くだけだ。
2,Sirius,0.8623,0.0,0.057,alive,私は失ったあとで、やっと安定した。
2,Proxima Centauri,0.9504,0.0,0.5859,alive,赤くなったのは、燃え尽きた証だ。
2,Altair,0.4161,0.0,0.3039,alive,私はもう爆発しない。
2,Vega,0.6521,0.7031,0.5295,alive,私は失ったあとで、やっと安定した。
2,Vega,0.7327,0.0,0.2416,alive,私はもう爆発しない。
2,Sirius,0.0,0.9557,0.4196,dead,私は光の墓標になった。
2,Altair,0.4776,0.0,0.0367,alive,私は失ったあとで、やっと安定した。
2,Altair,0.5845,0.8055,0.3328,alive,私はもう爆発しない。
2,Alpha Centauri A,0.6454,0.076,0.1011,alive,私は特別ではない。ただ、長く続くだけだ。
2,Altair,0.1849,0.0,0.7443,alive,私はもう爆発しない。
2,Sirius,0.7213,0.0,0.5742,alive,私は失ったあとで、やっと安定した。
2,Rigel,0.0,0.7252,0.1191,dead,私は速すぎた。だから先に終わる。
3,Vega,0.5489,0.0,0.3442,alive,私はもう爆発しない。
3,Sun,0.8294,0.9063,0.0612,alive,私は今日も、昨日と同じように燃えている。
3,Sirius,0.1603,0.0,0.2545,alive,私はもう爆発しない。
3,Sirius,0.4374,0.8637,0.3237,alive,私は失ったあとで、やっと安定した。
3,Altair,0.4448,0.9054,0.4111,alive,私はもう爆発しない。
3,Spica,0.2688,0.0,0.588,alive,私は生まれた瞬間から、燃えすぎていた。
3,Sun,0.8977,0.4717,0.1048,alive,私は特別ではない。ただ、長く続くだけだ。
3,Sun,0.4862,0.0,0.4346,alive,私は特別ではない。ただ、長く続くだけだ。
3,Sirius,0.8465,0.0,0.0761,alive,私は失ったあとで、やっと安定した。
3,Proxima Centauri,0.9503,0.0,0.5811,alive,私はもう、若かった頃の熱を覚えていない。
3,Altair,0.4104,0.0,0.3105,alive,私はもう爆発しない。
3,Vega,0.6443,0.7021,0.519,alive,私は失ったあとで、やっと安定した。
3,Vega,0.7275,0.0,0.2336,alive,私はもう爆発しない。
3,Sirius,0.0,0.9548,0.4188,dead,私は光の墓標になった。
3,Altair,0.4599,0.0,0.0246,alive,私はもう爆発しない。
3,Altair,0.5374,0.8047,0.2844,alive,私はもう爆発しない。
3,Alpha Centauri A,0.6447,0.0759,0.0982,alive,私は今日も、昨日と同じように燃えている。
3,Altair,0.1799,0.0,0.749,alive,私はもう爆発しない。
3,Sirius,0.6403,0.0,0.4913,alive,私はもう爆発しない。
3,Rigel,0.0,0.7247,0.1174,dead,私は速すぎた。だから先に終わる。
4,Vega,0.5086,0.0,0.3859,alive,私は失ったあとで、やっと安定した。
4,Sun,0.8282,0.9049,0.0658,alive,私は今日も、昨日と同じように燃えている。
4,Sirius,0.1097,0.0,0.3043,alive,私はもう爆発しない。
4,Sirius,0.3871,0.8635,0.3748,alive,私は失ったあとで、やっと安定した。
4,Altair,0.4178,0.9056,0.3829,alive,私はもう爆発しない。
4,Spica,0.1357,0.0,0.7204,alive,私は生まれた瞬間から、燃えすぎていた。
4,Sun,0.8967,0.4718,0.0998,alive,私は特別ではない。ただ、長く続くだけだ。
4,Sun,0.4858,0.0,0.4363,alive,私は特別ではない。ただ、長く続くだけだ。
4,Sirius,0.8307,0.0,0.0951,alive,私はもう爆発しない。
4,Proxima Centauri,0.9503,0.0,0.5773,alive,私はもう、若かった頃の熱を覚えていない。
4,Altair,0.4048,0.0,0.317,alive,私は失ったあとで、やっと安定した。
4,Vega,0.6366,0.7023,0.51,alive,私は失ったあとで、やっと安定した。
4,Vega,0.7224,0.0,0.2256,alive,私はもう爆発しない。
4,Sirius,0.0,0.9538,0.4177,dead,私は光の墓標になった。
4,Altair,0.4422,0.0,0.0442,alive,私はもう爆発しない。
4,Altair,0.4904,0.8043,0.2363,alive,私はもう爆発しない。
4,Alpha Centauri A,0.6439,0.0759,0.0948,alive,私は特別ではない。ただ、長く続くだけだ。
4,Altair,0.175,0.0,0.7536,alive,私はもう爆発しない。
4,Sirius,0.5593,0.0,0.4086,alive,私はもう爆発しない。
4,Rigel,0.0,0.725,0.1171,dead,私は速すぎた。だから先に終わる。
5,Vega,0.4683,0.0,0.4275,alive,私は失ったあとで、やっと安定した。
5,Sun,0.827,0.9039,0.0702,alive,私は特別ではない。ただ、長く続くだけだ。
5,Sirius,0.0591,0.0,0.3543,alive,私はもう爆発しない。
5,Sirius,0.3367,0.8636,0.4255,alive,私は失ったあとで、やっと安定した。
