t,real_name,P,R,Xi,death_type,narration
0,Vega,0.0119,0.1618,0.9768,alive,私は失ったあとで、やっと安定した。
0,Vega,0.2561,0.0955,0.0848,alive,私は失ったあとで、やっと安定した。
0,Sirius,0.7139,0.1222,0.6269,alive,私は失ったあとで、やっと安定した。
0,Bellatrix,0.4235,0.0876,0.0261,alive,私は生まれた瞬間から、燃えすぎていた。
0,Vega,0.685,0.4535,0.374,alive,私はもう爆発しない。
0,Altair,0.3595,0.9327,0.2437,alive,私はもう爆発しない。
0,Altair,0.402,0.9435,0.3986,alive,私はもう爆発しない。
0,Sirius,0.5259,0.0,0.394,alive,私はもう爆発しない。
0,Sirius,0.1146,0.1009,0.2249,alive,私は失ったあとで、やっと安定した。
0,Sirius,0.2085,0.0,0.4356,alive,私はもう爆発しない。
0,Altair,0.7538,0.7837,0.6977,alive,私はもう爆発しない。
0,Vega,0.8719,0.3666,0.3079,alive,私は失ったあとで、やっと安定した。
0,Altair,0.1402,0.0,0.6135,alive,私は失ったあとで、やっと安定した。
0,Vega,0.8427,0.893,0.3527,alive,私はもう爆発しない。
0,Rigel,0.8413,0.0,0.0994,alive,私は生まれた瞬間から、燃えすぎていた。
0,Bellatrix,0.7183,0.928,0.6389,alive,私は生まれた瞬間から、燃えすぎていた。
0,Bellatrix,0.3744,0.1394,0.625,alive,青は若さの色ではなく、余命の短さの色だ。
0,Alpha Centauri A,0.3501,0.0,0.2138,alive,私は今日も、昨日と同じように燃えている。
0,Altair,0.9564,0.0,0.1183,alive,私はもう爆発しない。
0,Bellatrix,0.3169,0.0,0.1717,alive,私は生まれた瞬間から、燃えすぎていた。
1,Vega,0.0,0.1617,0.9873,dead,私は光の墓標になった。
1,Vega,0.1908,0.0955,0.0955,alive,私はもう爆発しない。
1,Sirius,0.6702,0.1222,0.5807,alive,私は失ったあとで、やっと安定した。
1,Bellatrix,0.3329,0.0875,0.0695,alive,青は若さの色ではなく、余命の短さの色だ。
1,Vega,0.6309,0.4537,0.3176,alive,私は失ったあとで、やっと安定した。
1,Altair,0.2705,0.9315,0.1543,alive,私はもう爆発しない。
1,Altair,0.3862,0.9432,0.383,alive,私はもう爆発しない。
1,Sirius,0.512,0.0,0.3787,alive,私は失ったあとで、やっと安定した。
1,Sirius,0.1013,0.1008,0.2377,alive,私はもう爆発しない。
1,Sirius,0.1791,0.0,0.4648,alive,私はもう爆発しない。
1,Altair,0.6748,0.7827,0.6168,alive,私はもう爆発しない。
1,Vega,0.8207,0.3666,0.2533,alive,私は失ったあとで、やっと安定した。
1,Altair,0.0677,0.0,0.6854,alive,私は失ったあとで、やっと安定した。
1,Vega,0.8397,0.8931,0.3466,alive,私は失ったあとで、やっと安定した。
1,Rigel,0.7058,0.0,0.2375,alive,青は若さの色ではなく、余命の短さの色だ。
1,Bellatrix,0.6094,0.9275,0.5289,alive,私は生まれた瞬間から、燃えすぎていた。
1,Bellatrix,0.2212,0.1393,0.778,alive,私は生まれた瞬間から、燃えすぎていた。
1,Alpha Centauri A,0.348,0.0,0.2164,alive,私は特別ではない。ただ、長く続くだけだ。
1,Altair,0.944,0.0,0.1019,alive,私はもう爆発しない。
1,Bellatrix,0.1915,0.0,0.0467,alive,私は生まれた瞬間から、燃えすぎていた。
2,Vega,0.0,0.1614,0.9859,dead,私は光の墓標になった。
2,Vega,0.1255,0.0954,0.161,alive,私は失ったあとで、やっと安定した。
2,Sirius,0.6265,0.1221,0.5352,alive,私は失ったあとで、やっと安定した。
2,Bellatrix,0.2423,0.0874,0.1607,alive,私は生まれた瞬間から、燃えすぎていた。
2,Vega,0.5769,0.4536,0.2617,alive,私はもう爆発しない。
2,Altair,0.1815,0.9318,0.0662,alive,私は失ったあとで、やっと安定した。
2,Altair,0.3703,0.9421,0.3676,alive,私は失ったあとで、やっと安定した。
2,Sirius,0.4981,0.0,0.3636,alive,私はもう爆発しない。
2,Sirius,0.0879,0.1008,0.2511,alive,私はもう爆発しない。
2,Sirius,0.1498,0.0,0.4938,alive,私はもう爆発しない。
2,Altair,0.5958,0.7818,0.5354,alive,私は失ったあとで、やっと安定した。
2,Vega,0.7696,0.3666,0.1993,alive,私はもう爆発しない。
2,Altair,0.0,0.0,0.7517,dead,私は光の墓標になった。
2,Vega,0.8368,0.8921,0.3406,alive,私は失ったあとで、やっと安定した。
2,Rigel,0.5702,0.0,0.3748,alive,青は若さの色ではなく、余命の短さの色だ。
