t,observer,memory,life,alive
0,Human Civilization,1.0,1.0,True
0,Archive AI,0.9,1.0,True
1,Human Civilization,1.0,1.0,True
1,Archive AI,0.9,1.0,True
2,Human Civilization,1.0,1.0,True
2,Archive AI,0.9,1.0,True
3,Human Civilization,1.0,1.0,True
3,Archive AI,0.9,1.0,True
4,Human Civilization,1.0,1.0,True
4,Archive AI,0.9,1.0,True
5,Human Civilization,1.0,1.0,True
5,Archive AI,0.9,1.0,True
6,Human Civilization,1.0,1.0,True
6,Archive AI,0.9,1.0,True
7,Human Civilization,1.0,1.0,True
7,Archive AI,0.9,1.0,True
8,Human Civilization,1.0,1.0,True
8,Archive AI,0.9,1.0,True
9,Human Civilization,1.0,1.0,True
9,Archive AI,0.9,1.0,True
10,Human Civilization,1.0,1.0,True
10,Archive AI,0.9,1.0,True
11,Human Civilization,1.0,1.0,True
11,Archive AI,0.9,1.0,True
12,Human Civilization,1.0,1.0,True
12,Archive AI,0.9,1.0,True
13,Human Civilization,1.0,1.0,True
13,Archive AI,0.9,1.0,True
14,Human Civilization,1.0,1.0,True
14,Archive AI,0.9,1.0,True
15,Human Civilization,1.0,1.0,True
15,Archive AI,0.9,1.0,True
16,Human Civilization,1.0,1.0,True
16,Archive AI,0.9,1.0,True
17,Human Civilization,1.0,1.0,True
17,Archive AI,0.9,1.0,True
18,Human Civilization,1.0,1.0,True
18,Archive AI,0.9,1.0,True
19,Human Civilization,1.0,1.0,True
19,Archive AI,0.9,1.0,True
20,Human Civilization,1.0,1.0,True
20,Archive AI,0.9,1.0,True
21,Human Civilization,1.0,1.0,True
21,Archive AI,0.9,1.0,True
22,Human Civilization,1.0,1.0,True
22,Archive AI,0.9,1.0,True
23,Human Civilization,1.0,1.0,True
23,Archive AI,0.9,1.0,True
24,Human Civilization,1.0,1.0,True
24,Archive AI,0.9,1.0,True
25,Human Civilization,1.0,1.0,True
25,Archive AI,0.9,1.0,True
26,Human Civilization,1.0,1.0,True
26,Archive AI,0.9,1.0,True
27,Human Civilization,1.0,1.0,True
27,Archive AI,0.9,1.0,True
28,Human Civilization,1.0,1.0,True
28,Archive AI,0.9,1.0,True
29,Human Civilization,1.0,1.0,True
29,Archive AI,0.9,1.0,True
30,Human Civilization,1.0,1.0,True
30,Archive AI,0.9,1.0,True
31,Human Civilization,1.0,1.0,True
31,Archive AI,0.9,1.0,True
32,Human Civilization,1.0,1.0,True
32,Archive AI,0.9,1.0,True
33,Human Civilization,1.0,1.0,True
33,Archive AI,0.9,1.0,True
34,Human Civilization,1.0,1.0,True
34,Archive AI,0.9,1.0,True
35,Human Civilization,1.0,1.0,True
35,Archive AI,0.9,1.0,True
36,Human Civilization,1.0,1.0,True
36,Archive AI,0.9,1.0,True
37,Human Civilization,1.0,1.0,True
37,Archive AI,0.9,1.0,True
38,Human Civilization,1.0,1.0,True
38,Archive AI,0.9,1.0,True
39,Human Civilization,1.0,1.0,True
39,Archive AI,0.9,1.0,True
40,Human Civilization,1.0,1.0,True
40,Archive AI,0.9,1.0,True
41,Human Civilization,1.0,1.0,True
41,Archive AI,0.9,1.0,True
42,Human Civilization,1.0,1.0,True
42,Archive AI,0.9,1.0,True
43,Human Civilization,1.0,1.0,True
