t,real_name,P,R,Xi,death_type,narration
0,Alpha Centauri A,0.2743,0.2252,0.4893,alive,私は特別ではない。ただ、長く続くだけだ。
0,Alpha Centauri A,0.9633,0.0,0.5949,alive,私は特別ではない。ただ、長く続くだけだ。
0,Vega,0.7519,0.926,0.4486,alive,私は失ったあとで、やっと安定した。
0,Alpha Centauri A,0.5948,0.9296,0.4742,alive,私は特別ではない。ただ、長く続くだけだ。
0,Alpha Centauri A,0.9607,0.0,0.0503,alive,私は今日も、昨日と同じように燃えている。
0,Vega,0.4326,0.8187,0.0719,alive,私は失ったあとで、やっと安定した。
0,Sirius,0.8592,0.0,0.4312,alive,私はもう爆発しない。
0,Rigel,0.4511,0.0,0.4515,alive,青は若さの色ではなく、余命の短さの色だ。
0,Altair,0.1195,0.1155,0.8297,alive,私は失ったあとで、やっと安定した。
0,Vega,0.0,0.0,0.1832,dead,私は光の墓標になった。
0,Altair,0.0898,0.0,0.2129,alive,私はもう爆発しない。
0,Spica,0.7074,0.0,0.0506,alive,私は生まれた瞬間から、燃えすぎていた。
0,Spica,0.4795,0.0,0.0373,alive,私は生まれた瞬間から、燃えすぎていた。
0,Spica,0.0256,0.1873,0.451,alive,青は若さの色ではなく、余命の短さの色だ。
0,Vega,0.5859,0.0,0.29,alive,私はもう爆発しない。
0,Altair,0.3856,0.0,0.5737,alive,私は失ったあとで、やっと安定した。
0,Vega,0.7912,0.0,0.4284,alive,私はもう爆発しない。
0,Alpha Centauri A,0.0658,0.0,0.6478,alive,私は特別ではない。ただ、長く続くだけだ。
0,Rigel,0.8248,0.1367,0.7926,alive,私は生まれた瞬間から、燃えすぎていた。
0,Altair,0.1501,0.0,0.4713,alive,私はもう爆発しない。
1,Alpha Centauri A,0.2734,0.225,0.4903,alive,私は特別ではない。ただ、長く続くだけだ。
1,Alpha Centauri A,0.9616,0.0,0.5888,alive,私は今日も、昨日と同じように燃えている。
1,Vega,0.7366,0.9249,0.4303,alive,私は失ったあとで、やっと安定した。
1,Alpha Centauri A,0.5932,0.9292,0.4711,alive,私は特別ではない。ただ、長く続くだけだ。
