name,type,mass_solar,age_gyr,distance_pc,lifespan_gyr,papers
Kepler-1167 b,star,0.79,4.27,820.905,18.027365821599485,3016
Kepler-1740 b,star,0.943,5.0,1061.77,11.58032553830367,3039
Kepler-1581 b,star,1.12,4.17,493.175,7.532774095368844,2722
Kepler-644 b,star,1.49,1.62,1318.05,3.690067656948068,2159
Kepler-1752 b,star,0.824,7.2,962.888,16.224897832884807,1497
Kepler-280 c,star,0.962,5.62,780.361,11.016973883430357,363
Kepler-1208 b,star,0.8,4.47,825.176,17.469281074217104,2083
Kepler-263 c,star,0.793,2.24,754.747,17.857350860412858,2723
HD 136352 b,star,0.87,12.3,14.682,14.164520211887895,247
Kepler-1101 b,star,0.94,4.27,742.473,11.672943031448547,2652
HD 168746 b,star,1.07,8.0,41.5681,8.443850895673538,3962
HAT-P-7 b,star,1.56,1.78,341.079,3.2899439884345645,2624
Kepler-560 b,star,0.34,4.07,109.308,100.0,3288
Kepler-150 d,star,0.956,1.74,891.092,11.190648876524536,1486
Kepler-498 b,star,0.98,3.89,938.844,10.518039822492824,4836
Kepler-817 b,star,1.03,3.55,1484.46,9.287673467473779,3979
Kepler-937 b,star,1.15,3.24,1571.46,7.051076054747175,3150
K2-10 b,star,0.88,5.0,272.36,13.765542120067822,635
Kepler-571 b,star,0.93,4.68,723.875,11.98926690635247,3097
Kepler-1458 b,star,0.96,4.17,544.45,11.074443643225452,2522
K2-335 b,star,1.23,5.0,557.993,5.959875964488283,783
Kepler-1600 c,star,0.818,6.92,1030.81,16.524059146243694,2575
HIP 41378 f,star,1.16,4.279,106.289,6.9000943139510955,3842
Kepler-221 d,star,0.854,1.78,385.231,14.837315215551456,4941
Kepler-626 b,star,1.01,5.37,635.643,9.754310265758154,512
K2-39 b,star,0.66,6.7,307.47,28.25791803933258,4665
Kepler-1549 b,star,0.88,4.79,803.052,13.765542120067822,1172
K2-62 c,star,0.67,5.0,112.467,27.215291681065985,1477
Kepler-1149 b,star,1.02,3.98,1217.73,9.516989071286758,3422
Kepler-1288 b,star,1.2,2.88,814.078,6.33938145260609,3444
Kepler-128 b,star,1.184,4.07,396.379,6.555725250077468,4913
Kepler-1245 b,star,0.86,4.57,805.936,14.579877393650408,3765
Kepler-1068 b,star,1.01,4.17,1473.61,9.754310265758154,3426
Kepler-311 c,star,0.994,1.95,778.654,10.151589292862802,1838
Kepler-150 e,star,0.956,1.74,891.092,11.190648876524536,3786
Kepler-272 c,star,0.91,13.18,889.608,12.65891603335247,3822
Kepler-152 c,star,0.779,2.0,441.09,18.670517506318753,1048
Kepler-1506 b,star,0.95,3.98,2366.02,11.368181186539104,3873
HAT-P-22 b,star,1.13,12.4,81.7647,7.367224280551316,1830
K2-25 b,star,0.2634,0.73,44.9565,100.0,2947
CoRoT-3 b,star,1.37,2.2,768.771,4.551961520148973,2708
HD 205739 b,star,1.22,2.84,92.5087,6.082756385549485,2304
NGTS-10 b,star,0.696,10.4,324.69865036,24.744398486289896,3214
HD 224693 b,star,1.31,4.12,93.5015,5.091218790635964,458
HD 156279 b,star,0.94,4.1,36.1945,11.672943031448547,324
HD 12661 b,star,1.2,6.39,37.8478,6.33938145260609,3342
2MASS J12073346-3932539 b,star,0.024,0.008,64.308,100.0,797
HD 16417 b,star,1.2,7.0,25.3936,6.33938145260609,1226
HD 19994 b,star,1.365,2.4,22.5242,4.593760737548208,4957
61 Vir b,star,0.942,8.96,8.50332,11.61108335989013,3661
HD 156279 c,star,0.94,4.1,36.1945,11.672943031448547,3971
