t,real_name,P,R,Xi,death_type,narration
0,Altair,0.194,0.0,0.346,alive,私は失ったあとで、やっと安定した。
0,Vega,0.178,0.8067,0.5978,alive,私はもう爆発しない。
0,Spica,0.613,0.7293,0.1302,alive,私は生まれた瞬間から、燃えすぎていた。
0,Rigel,0.7712,0.0,0.325,alive,青は若さの色ではなく、余命の短さの色だ。
0,Vega,0.3037,0.3083,0.1073,alive,私はもう爆発しない。
0,Altair,0.282,0.0,0.4482,alive,私はもう爆発しない。
0,Vega,0.1812,0.1343,0.3169,alive,私はもう爆発しない。
0,Vega,0.5576,0.9347,0.2807,alive,私は失ったあとで、やっと安定した。
0,Spica,0.7671,0.9522,0.6894,alive,青は若さの色ではなく、余命の短さの色だ。
0,Sirius,0.5378,0.0,0.2859,alive,私は失ったあとで、やっと安定した。
0,Vega,0.8218,0.6809,0.129,alive,私は失ったあとで、やっと安定した。
0,Altair,0.6593,0.0,0.044,alive,私は失ったあとで、やっと安定した。
0,Vega,0.2589,0.7075,0.5821,alive,私はもう爆発しない。
0,Alpha Centauri A,0.2768,0.476,0.675,alive,私は今日も、昨日と同じように燃えている。
0,Vega,0.2668,0.0,0.1003,alive,私は失ったあとで、やっと安定した。
0,Sirius,0.0,0.0,0.7139,dead,私は光の墓標になった。
0,Altair,0.2532,0.9467,0.2582,alive,私は失ったあとで、やっと安定した。
0,Altair,0.7268,0.8174,0.6831,alive,私はもう爆発しない。
0,Vega,0.2941,0.0,0.0494,alive,私はもう爆発しない。
0,Sirius,0.2009,0.2489,0.1776,alive,私はもう爆発しない。
1,Altair,0.1903,0.0,0.3499,alive,私は失ったあとで、やっと安定した。
1,Vega,0.1721,0.8059,0.6033,alive,私は失ったあとで、やっと安定した。
1,Spica,0.5002,0.7288,0.2444,alive,私は生まれた瞬間から、燃えすぎていた。
1,Rigel,0.6622,0.0,0.2136,alive,青は若さの色ではなく、余命の短さの色だ。
1,Vega,0.2878,0.3082,0.0912,alive,私は失ったあとで、やっと安定した。
1,Altair,0.2283,0.0,0.5017,alive,私はもう爆発しない。
1,Vega,0.1595,0.1342,0.3381,alive,私はもう爆発しない。
1,Vega,0.5546,0.934,0.2755,alive,私はもう爆発しない。
1,Spica,0.6445,0.9511,0.5646,alive,青は若さの色ではなく、余命の短さの色だ。
1,Sirius,0.5317,0.0,0.2935,alive,私は失ったあとで、やっと安定した。
1,Vega,0.7927,0.6806,0.1612,alive,私はもう爆発しない。
1,Altair,0.6534,0.0,0.0527,alive,私は失ったあとで、やっと安定した。
1,Vega,0.2478,0.7073,0.5931,alive,私は失ったあとで、やっと安定した。
1,Alpha Centauri A,0.2762,0.4761,0.6758,alive,私は今日も、昨日と同じように燃えている。
1,Vega,0.232,0.0,0.0656,alive,私はもう爆発しない。
1,Sirius,0.0,0.0,0.7125,dead,私は光の墓標になった。
1,Altair,0.2258,0.9463,0.2314,alive,私はもう爆発しない。
1,Altair,0.6531,0.8168,0.6066,alive,私はもう爆発しない。
1,Vega,0.2835,0.0,0.0385,alive,私はもう爆発しない。
1,Sirius,0.132,0.249,0.1108,alive,私はもう爆発しない。
2,Altair,0.1867,0.0,0.3537,alive,私は失ったあとで、やっと安定した。
2,Vega,0.1662,0.8055,0.6089,alive,私はもう爆発しない。
2,Spica,0.3873,0.7291,0.3583,alive,私は生まれた瞬間から、燃えすぎていた。
2,Rigel,0.5532,0.0,0.1034,alive,私は生まれた瞬間から、燃えすぎていた。
2,Vega,0.2719,0.3082,0.0757,alive,私はもう爆発しない。
2,Altair,0.1747,0.0,0.5549,alive,私は失ったあとで、やっと安定した。
2,Vega,0.1378,0.1342,0.3596,alive,私は失ったあとで、やっと安定した。
2,Vega,0.5515,0.9343,0.2707,alive,私はもう爆発しない。
2,Spica,0.5219,0.9508,0.4406,alive,青は若さの色ではなく、余命の短さの色だ。
2,Sirius,0.5257,0.0,0.3012,alive,私はもう爆発しない。
2,Vega,0.7636,0.6798,0.1933,alive,私はもう爆発しない。
2,Altair,0.6474,0.0,0.0608,alive,私は失ったあとで、やっと安定した。
2,Vega,0.2368,0.7075,0.604,alive,私はもう爆発しない。
2,Alpha Centauri A,0.2756,0.4761,0.6765,alive,私は特別ではない。ただ、長く続くだけだ。
2,Vega,0.1972,0.0,0.0323,alive,私は失ったあとで、やっと安定した。
2,Sirius,0.0,0.0,0.7116,dead,私は光の墓標になった。
2,Altair,0.1984,0.9458,0.2051,alive,私はもう爆発しない。
2,Altair,0.5794,0.817,0.5323,alive,私はもう爆発しない。
2,Vega,0.2729,0.0,0.0401,alive,私は失ったあとで、やっと安定した。
2,Sirius,0.0632,0.2486,0.0814,alive,私は失ったあとで、やっと安定した。
3,Altair,0.183,0.0,0.3574,alive,私は失ったあとで、やっと安定した。
3,Vega,0.1603,0.8052,0.6145,alive,私はもう爆発しない。
3,Spica,0.2744,0.7284,0.4713,alive,私は生まれた瞬間から、燃えすぎていた。
3,Rigel,0.4442,0.0,0.0773,alive,私は生まれた瞬間から、燃えすぎていた。
3,Vega,0.2561,0.3079,0.077,alive,私はもう爆発しない。
3,Altair,0.1211,0.0,0.6079,alive,私は失ったあとで、やっと安定した。
3,Vega,0.116,0.1341,0.3804,alive,私はもう爆発しない。
3,Vega,0.5484,0.9339,0.2665,alive,私はもう爆発しない。
3,Spica,0.3992,0.9505,0.3176,alive,私は生まれた瞬間から、燃えすぎていた。
3,Sirius,0.5196,0.0,0.3087,alive,私はもう爆発しない。
3,Vega,0.7344,0.6792,0.2251,alive,私は失ったあとで、やっと安定した。
3,Altair,0.6415,0.0,0.0691,alive,私はもう爆発しない。
3,Vega,0.2257,0.7078,0.615,alive,私は失ったあとで、やっと安定した。
