name,type,mass_solar,age_gyr,distance_pc,lifespan_gyr,papers
Kepler-1167 b,star,0.79,4.27,820.905,18.027365821599485,3819
Kepler-1740 b,star,0.943,5.0,1061.77,11.58032553830367,3424
Kepler-1581 b,star,1.12,4.17,493.175,7.532774095368844,2865
Kepler-644 b,star,1.49,1.62,1318.05,3.690067656948068,1889
Kepler-1752 b,star,0.824,7.2,962.888,16.224897832884807,2832
Kepler-280 c,star,0.962,5.62,780.361,11.016973883430357,3234
Kepler-1208 b,star,0.8,4.47,825.176,17.469281074217104,2002
Kepler-263 c,star,0.793,2.24,754.747,17.857350860412858,4998
HD 136352 b,star,0.87,12.3,14.682,14.164520211887895,4073
Kepler-1101 b,star,0.94,4.27,742.473,11.672943031448547,2212
HD 168746 b,star,1.07,8.0,41.5681,8.443850895673538,1866
HAT-P-7 b,star,1.56,1.78,341.079,3.2899439884345645,4834
Kepler-560 b,star,0.34,4.07,109.308,100.0,1731
Kepler-150 d,star,0.956,1.74,891.092,11.190648876524536,1314
Kepler-498 b,star,0.98,3.89,938.844,10.518039822492824,2744
Kepler-817 b,star,1.03,3.55,1484.46,9.287673467473779,508
Kepler-937 b,star,1.15,3.24,1571.46,7.051076054747175,4722
K2-10 b,star,0.88,5.0,272.36,13.765542120067822,195
Kepler-571 b,star,0.93,4.68,723.875,11.98926690635247,4111
Kepler-1458 b,star,0.96,4.17,544.45,11.074443643225452,446
K2-335 b,star,1.23,5.0,557.993,5.959875964488283,3666
Kepler-1600 c,star,0.818,6.92,1030.81,16.524059146243694,215
HIP 41378 f,star,1.16,4.279,106.289,6.9000943139510955,2265
Kepler-221 d,star,0.854,1.78,385.231,14.837315215551456,173
Kepler-626 b,star,1.01,5.37,635.643,9.754310265758154,286
K2-39 b,star,0.66,6.7,307.47,28.25791803933258,1286
Kepler-1549 b,star,0.88,4.79,803.052,13.765542120067822,1417
K2-62 c,star,0.67,5.0,112.467,27.215291681065985,1098
Kepler-1149 b,star,1.02,3.98,1217.73,9.516989071286758,1614
